id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646710410272333824,Wed Sep 23 15:39:11 +0000 2015,Rolando García,RolooGarcia,False,20,23,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/fpkzvk8pmt,no soy ni seré nunca una persona normal  valoro mis amistades al 100%  odio ver a la gente triste  me gusta molestar  y soy perseverante con lo que quiero.,es,central time (us & canada),san salvador
646710414198329344,Wed Sep 23 15:39:12 +0000 2015,Antonio Prosperi,antonioprosperi,False,14930,16329,rt @bbcbusiness: #volkswagen ceo martin winterkorn quits over diesel emissions scandal http://t.co/mqvsdzq3du http://t.co/owy5zkpig9,ing. mecánico y matemático from the university of texas at arlington  texas  usa. critico empedernido  analista y activista político digital..,es,caracas,venezuela y el mundo...
646710414319882240,Wed Sep 23 15:39:12 +0000 2015,Alberto Triana,albertotriana81,False,1274,1885,rt @lanacion: [último] renunció el presidente de volkswagen  tras el escándalo por emisiones de gases http://t.co/qqtusumctx http://t.co/v3…,periodista  ingeniero  autodidacta  fotógrafo amateur  soltero (por fortuna) sin afiliación política. https://anticipaciones.wordpress.com,es,eastern time (us & canada),
646710414655533057,Wed Sep 23 15:39:12 +0000 2015,EFE_motor,EFE_motor,False,5214,2045,el presidente de #volkswagen  martin #winterkorn  #dimite por el #escándalo de las #emisiones de los vehículos #diésel en #eeuu,la actualidad del motor en la agencia efe,es,athens,madrid (españa)
646710415980892160,Wed Sep 23 15:39:13 +0000 2015,Andrés Cachalvite,ACachalvite,False,1314,439,dimite el ceo de volkswagen por el escándalo de las emisiones http://t.co/geqbbum07b #vw #volkswagen,redactor del diario la región en ourense. baloncesto y motor. también en tv  en la prórroga de telemiño y en radio  en la cope.,es,london,ourense
646710414592479233,Wed Sep 23 15:39:12 +0000 2015,Noticias MVS,NoticiasMVS,True,1070267,12629,opinión-@volkswagen necesita explicar su software para evitar acciones penales http://t.co/0hzhv6mkms http://t.co/wr2lutnvri,el portal de la estación noticiasmvs infórmate del acontecer de méxico y el mundo.,es,mexico city,üt: 19.466002 -99.168275
646710416823840768,Wed Sep 23 15:39:13 +0000 2015,Alexia,AleexiaGuzmaan,False,23,24,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/glfpmhibjs,hija del rey de infinito poder  su amor es para siempre.,es,central time (us & canada), san salvador
646710417675292672,Wed Sep 23 15:39:13 +0000 2015,ㅤ,googlekb,False,238,14,volkswagen ceo resigns amid emissions scandal http://t.co/ttuuhrr2ye,NULL,es,mazatlan,miami fl
646710420351221760,Wed Sep 23 15:39:14 +0000 2015,Erick M.,Eriickluiis_x5,False,695,180,volkswagen chief martin winterkorn resigns amid emissions scandal: in a statement  martin winterkorn said he a... http://t.co/dd1kupxd8h,nunca me terminaras de conocer ;) soy una caja llena de sorpresas :3 :3 :3,es,atlantic time (canada),
646710420955394048,Wed Sep 23 15:39:14 +0000 2015,Batirtze,sbati89,False,471,1900,rt @la_informacion: dimite el ceo de volkswagen por el escándalo de las emisiones contaminantes http://t.co/r1cvavhg0j http://t.co/xnauiiju…,licenciada en publicidad  máster en marketing  técnica de protocolo. apasionada de las redes sociales bodas y de los eventos,es,madrid,bizkaia
646710422020579328,Wed Sep 23 15:39:14 +0000 2015,Hugo Villafuerte,DoonHugoo,False,245,21,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/adswgfitox,sigueme y te sigo :d,es,central time (us & canada),san salvador
646710426110025728,Wed Sep 23 15:39:15 +0000 2015,David Escoto,PayadavidES,False,20,26,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/7rs3p4slk3,estoy tan feliz que si estornudo me sale confeti. =d,es,central time (us & canada),san salvador
646710426508636160,Wed Sep 23 15:39:15 +0000 2015,Más Vale Tarde ,MVTARDE,True,52181,157,directo | dimite el presidente de volkswagen tras el escándalo de la compañía ▶ http://t.co/pclcm6ibyy http://t.co/f6ac2yr1h4,cada tarde  a las 17:15  en lasexta  contamos bien buenas historias y analizamos la actualidad.,es,NULL,
646710428156956672,Wed Sep 23 15:39:16 +0000 2015,Fede,fedequeipo,False,502,225,rt @lanacion: [último] renunció el presidente de volkswagen  tras el escándalo por emisiones de gases http://t.co/qqtusumctx http://t.co/v3…,19. aunque no entiendan yo por boca doy la vida. 63 estrellas. ningun descenso. comercio internacional. unlu. caro la mejorrr,es,buenos aires,general rodriguez
646710431302729728,Wed Sep 23 15:39:16 +0000 2015,urgente24.com,U24noticias,False,32688,97,en medio del escándalo  renunció winterkorn  el presidente de volkswagen http://t.co/guc7t0hat8,información confiable también en http://facebook.com/urgente24,es,buenos aires,argentina
646710435798908928,Wed Sep 23 15:39:17 +0000 2015,Naty Navarrete,NatyNavarre,False,23,23,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/i8imf2hulh,tu medallittha bonittha!! siempre a tu lado bb.. ♥♥♥ sigueme & te sigo.. xd,es,central time (us & canada),san salvador
646710442438451203,Wed Sep 23 15:39:19 +0000 2015,Henry Garcia,MateoRenderos,False,20,22,el director ejecutivo de volkswagen dimite en medio del escándalo por la manipulación de emisiones:  http://t.co/bcr3gkjqqe,NULL,es,central time (us & canada),san salvador
646710442962780160,Wed Sep 23 15:39:19 +0000 2015,UPPDAL,UppdalAmerica,False,190,32,#uppdal #cuba #americalatina dimite el consejero delegado de volkswagen  martin winterkorn  por el escándalo de las… http://t.co/3b5tq96n7q,u.p.p.d.a.l.: unión de partidos políticos digitales de américa latina,es,atlantic time (canada),américa latina
646710445349445632,Wed Sep 23 15:39:20 +0000 2015,Jaime M.L.,jaume5ml24,False,17,37,"rt @capitalradiob: el ceo de volskwagen dimite para facilitar ""un nuevo comienzo"" en la compañía. http://t.co/9aywc7vbqp @78laurablanco",trader en los ratos libres. la información bien gestionada es rentable,es,NULL,barcelona 
646710444820815872,Wed Sep 23 15:39:20 +0000 2015,Julio Alejandro ,jalejandro3107,False,471,1582,#cuba #usa volkswagen chief martin winterkorn resigns amid emissions scandal: in a statem... http://t.co/gkelc58xqt #palabrasentreelcafe,cubano 100%  compartiendo ideas con un café de por medio...,es,pacific time (us & canada),la habana cuba
646710446234316801,Wed Sep 23 15:39:20 +0000 2015,Cristóbal Delatorre,Cristo8444,False,849,2002,volkswagen chief martin winterkorn resigns amid emissions scandal: in a statement  martin winterkorn said he a... http://t.co/2k4iqr0meh,me gusta mucho practicar deporte y también me interesa todo lo relacionado con el crecimiento personal.,es,london,las palmas de gran canaria
