,id,word,classification
0,6.4671040992e+17,chief,pos
1,6.4671040992e+17,main,pos
2,6.4671040992e+17,resigns,pos
3,6.4671040992e+17,emissions,pos
4,6.4671040992e+17,in,pos
5,6.4671040992e+17,a,pos
6,6.4671040992e+17,statement,pos
7,6.4671040992e+17,main,pos
8,6.4671040992e+17,said,pos
9,6.4671040992e+17,he,pos
10,6.4671040992e+17,a,pos
11,6.46710410616e+17,news,neg
12,6.46710410616e+17,ceo,neg
13,6.46710410616e+17,main,neg
14,6.46710410616e+17,resigns,neg
15,6.46710410616e+17,takes,neg
16,6.46710410616e+17,responsibility,neg
17,6.46710410616e+17,rigging,neg
18,6.46710410616e+17,us,neg
19,6.46710410616e+17,emissions,neg
20,6.46710410616e+17,tests,neg
21,6.46710414135e+17,chief,pos
22,6.46710414135e+17,main,pos
23,6.46710414135e+17,resigns,pos
24,6.46710414135e+17,emissions,pos
25,6.46710414135e+17,in,pos
26,6.46710414135e+17,a,pos
27,6.46710414135e+17,statement,pos
28,6.46710414135e+17,main,pos
29,6.46710414135e+17,said,pos
30,6.46710414135e+17,he,pos
31,6.46710414135e+17,a,pos
32,6.46710416383e+17,chief,pos
33,6.46710416383e+17,main,pos
34,6.46710416383e+17,resigns,pos
35,6.46710416383e+17,emissions,pos
36,6.46710416383e+17,in,pos
37,6.46710416383e+17,a,pos
38,6.46710416383e+17,statement,pos
39,6.46710416383e+17,main,pos
40,6.46710416383e+17,said,pos
41,6.46710416383e+17,he,pos
42,6.46710416383e+17,a,pos
43,6.46710418002e+17,scandal,pos
44,6.46710418002e+17,kill,pos
45,6.46710418002e+17,off,pos
46,6.46710418002e+17,diesel,pos
47,6.46710418002e+17,cars,pos
48,6.46710418002e+17,telegraph,pos
49,6.46710419731e+17,chief,pos
50,6.46710419731e+17,steps,pos
51,6.46710419731e+17,down,pos
52,6.46710419731e+17,emissions,pos
53,6.46710419731e+17,testing,pos
54,6.46710419731e+17,ceo,pos
55,6.46710419731e+17,main,pos
56,6.46710419731e+17,phot,pos
57,6.46710420247e+17,decisive,pos
58,6.46710420247e+17,by,pos
59,6.46710420247e+17,ceo,pos
60,6.46710420247e+17,ownership,pos
61,6.46710420247e+17,taken,pos
62,6.46710422121e+17,nails,pos
63,6.46710422121e+17,fallout,pos
64,6.46710422377e+17,news,pos
65,6.46710422377e+17,chief,pos
66,6.46710422377e+17,main,pos
