,id,classification
0,646710409920000000,pos
1,646710410616000000,neg
2,646710414135000000,pos
3,646710416383000000,pos
4,646710418002000000,pos
5,646710419731000000,pos
6,646710420247000000,pos
7,646710422121000000,pos
8,646710422377000000,pos
9,646710423732000000,pos
10,646710424453000000,pos
11,646710432393000000,pos
12,646710435564000000,neg
13,646710438852000000,pos
14,646710441159000000,pos
15,646710442891000000,pos
16,646710443793000000,pos
17,646710449061000000,neg
18,646710450735000000,pos
19,646710451196000000,pos
20,646710452245000000,neg
21,646710453415000000,pos
22,646710454715000000,neg
23,646710455781000000,pos
24,646710456955000000,pos
25,646710457173000000,pos
26,646710459082000000,neg
27,646710459664000000,pos
28,646710461804000000,pos
29,646710466363000000,pos
30,646710466895000000,pos
31,646710467441000000,pos
32,646710470691000000,pos
33,646710470956000000,neg
34,646710472742000000,pos
35,646710473405000000,pos
36,646710473732000000,pos
37,646710475544000000,pos
38,646710478224000000,pos
39,646710480426000000,neg
40,646710485510000000,pos
41,646710488274000000,neg
42,646710489243000000,pos
43,646710487884000000,neg
44,646710490342000000,pos
45,646710493622000000,pos
46,646710498982000000,pos
47,646710499125000000,neg
48,646710499066000000,pos
49,646710501045000000,pos
50,646710501704000000,pos
51,646710503269000000,pos
52,646710503298000000,pos
53,646710504124000000,neg
54,646710504200000000,neg
55,646710507677000000,pos
56,646710507404000000,neg
57,646710509388000000,pos
58,646710510537000000,pos
59,646710512848000000,pos
60,646710515784000000,neg
61,646710521484000000,neg
62,646710521925000000,pos
63,646710524039000000,neg
64,646710525884000000,neg
65,646710527520000000,pos
66,646710533027000000,pos
67,646710534784000000,pos
68,646710535191000000,pos
69,646710537624000000,pos
70,646710539784000000,neg
71,646710540262000000,neg
72,646710541202000000,pos
73,646710542108000000,pos
74,646710543526000000,neg
75,646710548995000000,pos
76,646710749705000000,neg
77,646710750128000000,neg
78,646710752590000000,pos
79,646710753283000000,pos
80,646710753866000000,pos
81,646710756990000000,neg
82,646710757678000000,neg
83,646710759071000000,neg
84,646710762900000000,pos
85,646710762330000000,pos
86,646710764267000000,neg
87,646710767925000000,pos
88,646710775294000000,neg
89,646710778759000000,neg
90,646710779329000000,pos
91,646710782752000000,pos
92,646710783746000000,pos
93,646710784618000000,neg
94,646710787114000000,neg
95,646710788444000000,pos
96,646710789073000000,pos
97,646710791359000000,neg
98,646710796488000000,pos
99,646710796404000000,neg
100,646710797730000000,pos
101,646710798166000000,pos
102,646710801714000000,pos
103,646710805556000000,pos
104,646710807725000000,pos
105,646710810610000000,pos
106,646710810547000000,neg
107,646710815321000000,neg
108,646710819263000000,neg
109,646710820937000000,pos
110,646710821138000000,neg
111,646710821801000000,neg
112,646710822694000000,neg
113,646710823831000000,neg
114,646710826662000000,pos
115,646710837521000000,neg
116,646710840625000000,pos
117,646710841317000000,pos
118,646710842667000000,pos
119,646710844081000000,pos
120,646710844714000000,pos
121,646710845352000000,pos
122,646710846845000000,pos
123,646710849643000000,neg
124,646710849621000000,pos
125,646710851576000000,pos
126,646710852465000000,neg
127,646710853120000000,pos
128,646710854084000000,pos
129,646710856005000000,pos
130,646710855448000000,neg
131,646710861462000000,pos
132,646710861210000000,pos
133,646710863568000000,pos
134,646710864633000000,neg
135,646710866470000000,pos
136,646710873500000000,pos
137,646710873936000000,pos
138,646710879271000000,neg
139,646710879372000000,pos
140,646710881091000000,neg
141,646710882085000000,pos
142,646710883344000000,pos
143,646710883776000000,pos
144,646710883520000000,neg
145,646710886548000000,pos
146,646710887068000000,pos
