,id,classification
0,6.467104102723338e+17,neg
1,6.46710414655533e+17,neg
2,6.467104159808922e+17,neg
3,6.467104145924792e+17,neg
4,6.467104168238408e+17,neg
5,6.467104220205793e+17,neg
6,6.467104261100257e+17,neg
7,6.467104265086362e+17,neg
8,6.467104313027297e+17,neg
9,6.467104357989089e+17,neg
10,6.467104424384512e+17,neg
11,6.467104429627802e+17,neg
12,6.4671044854972e+17,neg
13,6.467104535449723e+17,neg
14,6.467104535953121e+17,neg
15,6.467104594044232e+17,neg
16,6.467104609690419e+17,neg
17,6.46710462344663e+17,neg
18,6.467104641315308e+17,neg
19,6.467104693617009e+17,neg
20,6.467104714170122e+17,neg
21,6.467104722934866e+17,neg
22,6.467104770792202e+17,neg
23,6.467104789121434e+17,pos
24,6.467104785683333e+17,neg
25,6.467104843143578e+17,neg
26,6.467104854302392e+17,neg
27,6.467104856735048e+17,neg
28,6.467104870827336e+17,neg
29,6.467104886472663e+17,neg
30,6.467104918096404e+17,neg
31,6.467104948882022e+17,neg
32,6.467105020185395e+17,neg
33,6.467105059780895e+17,neg
34,6.467105085365002e+17,neg
35,6.46710511828992e+17,neg
36,6.467105132971745e+17,neg
37,6.467105153019044e+17,neg
38,6.467105203518218e+17,neg
39,6.467105229734543e+17,neg
40,6.46710524902699e+17,neg
41,6.467105276626862e+17,neg
42,6.467105321211044e+17,neg
43,6.467105359506145e+17,neg
44,6.467105367349658e+17,neg
45,6.46710537380696e+17,neg
46,6.467105405726966e+17,neg
47,6.467105427872154e+17,neg
48,6.467105486088684e+17,neg
49,6.467105486090035e+17,neg
50,6.467107523725189e+17,neg
51,6.467107522884895e+17,neg
52,6.467107534964695e+17,neg
53,6.467107530014761e+17,neg
54,6.467107568182886e+17,neg
55,6.467107565499023e+17,neg
56,6.467107632565494e+17,neg
57,6.467107746903572e+17,neg
58,6.467107756131e+17,neg
59,6.467107785783378e+17,neg
60,6.467107831334175e+17,neg
61,6.467107857422377e+17,neg
62,6.467107873989878e+17,neg
63,6.467107934472151e+17,neg
64,6.467107993569812e+17,neg
65,6.467108017728676e+17,neg
66,6.467108040545853e+17,neg
67,6.467108076617114e+17,neg
68,6.467108090751222e+17,neg
69,6.467108122210468e+17,neg
70,6.467108148968448e+17,neg
71,6.467108227779748e+17,neg
72,6.467108329239593e+17,neg
73,6.467108338005811e+17,neg
74,6.467108340103291e+17,neg
75,6.467108357635154e+17,neg
76,6.467108364807496e+17,pos
77,6.467108391147643e+17,neg
78,6.467108408723005e+17,neg
79,6.467108479563244e+17,neg
80,6.467108500493394e+17,neg
