,created_at,description,friends_count,id,lang,location,name,screen_name,text,time_zone,verified
0,Wed Sep 23 15:39:11 +0000 2015,no soy ni seré nunca una persona normal  valoro mis amistades al 100%  odio ver a la gente triste  me gusta molestar  y soy perseverante con lo que quiero.,23.0,6.467104102723338e+17,es,san salvador,Rolando García,RolooGarcia,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),20.0
1,Wed Sep 23 15:39:12 +0000 2015,la actualidad del motor en la agencia efe,2045.0,6.46710414655533e+17,es,madrid (españa),EFE_motor,EFE_motor,el presidente de   main winterkorn dimite por el escándalo de las emisiones de los vehículos diésel en eeuu,athens,5214.0
2,Wed Sep 23 15:39:13 +0000 2015,redactor del diario la región en ourense. baloncesto y motor. también en tv  en la prórroga de telemiño y en radio  en la cope.,439.0,6.467104159808922e+17,es,ourense,Andrés Cachalvite,ACachalvite,dimite el ceo de   por el escándalo de las emisiones    ,london,1314.0
3,Wed Sep 23 15:39:12 +0000 2015,el portal de la estación noticiasmvs infórmate del acontecer de méxico y el mundo.,12629.0,6.467104145924792e+17,es,üt: 19.466002 -99.168275,Noticias MVS,NoticiasMVS,opinión- necesita explicar su software para evitar acciones penales ,mexico city,1070267.0
4,Wed Sep 23 15:39:13 +0000 2015,hija del rey de infinito poder  su amor es para siempre.,24.0,6.467104168238408e+17,es, san salvador,Alexia,AleexiaGuzmaan,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),23.0
5,Wed Sep 23 15:39:14 +0000 2015,sigueme y te sigo :d,21.0,6.467104220205793e+17,es,san salvador,Hugo Villafuerte,DoonHugoo,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),245.0
6,Wed Sep 23 15:39:15 +0000 2015,estoy tan feliz que si estornudo me sale confeti. =d,26.0,6.467104261100257e+17,es,san salvador,David Escoto,PayadavidES,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),20.0
7,Wed Sep 23 15:39:15 +0000 2015,cada tarde  a las 17:15  en lasexta  contamos bien buenas historias y analizamos la actualidad.,157.0,6.467104265086362e+17,es,,Más Vale Tarde ,MVTARDE,directo  dimite el presidente de   tras el escándalo de la compañía ▶ ,,52181.0
8,Wed Sep 23 15:39:16 +0000 2015,información confiable también en http://facebook.com/urgente24,97.0,6.467104313027297e+17,es,argentina,urgente24.com,U24noticias,en medio del escándalo renunció winterkorn el presidente de   ,buenos aires,32688.0
9,Wed Sep 23 15:39:17 +0000 2015,tu medallittha bonittha!! siempre a tu lado bb.. ♥♥♥ sigueme & te sigo.. xd,23.0,6.467104357989089e+17,es,san salvador,Naty Navarrete,NatyNavarre,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),23.0
